Car Name,Price,Fuel Type,KM Driven,Year
2021 Toyota Camry HYBRID,30.75,Hybrid,39750.0,2021
2015 Toyota Etios G,2.56,Petrol,34530.0,2015
2017 Toyota Corolla Altis G CVT PETROL,6.4,Petrol,26930.0,2017
2021 Toyota URBAN CRUISER PREMIUM GRADE AT,7.2,Petrol,52140.0,2021
2018 Toyota YARIS V CVT,5.11,Petrol,62360.0,2018
2011 Toyota Innova V 2.5 8 STR,3.59,Diesel,160000.0,2011
2011 Toyota Etios G,1.71,Petrol,59290.0,2011
2011 Toyota Etios G,1.74,Petrol,110000.00000000001,2011
2011 Toyota Etios G,1.5,Petrol,98280.0,2011
2011 Toyota Etios G,2.06,Petrol,48410.0,2011
2011 Toyota Etios G,1.5,Petrol,63920.0,2011
2011 Toyota Etios G,1.65,Petrol,77000.0,2011
2014 Toyota Corolla Altis G PETROL,3.25,Petrol,78490.0,2014
2011 Toyota Etios V,1.21,Petrol,140000.0,2011
2018 Toyota YARIS V CVT,5.38,Petrol,24300.0,2018
2013 Toyota Etios Liva G,2.07,Petrol,45950.0,2013
2016 Toyota Innova Crysta 2.4 G 7 STR,10.94,Diesel,120000.0,2016
2012 Toyota Etios V,1.7,Petrol,120000.0,2012
2013 Toyota Etios V,2.34,Petrol,70520.0,2013
2011 Toyota Etios V,1.97,Petrol,150000.0,2011
